Country Name,Country Code,Population_1961,Population_1962,Population_1963,Population_1964,Population_1965,Population_1966,Population_1967,Population_1968,Population_1969,Population_1970,Population_1971,Population_1972,Population_1973,Population_1974,Population_1975,Population_1976,Population_1977,Population_1978,Population_1979,Population_1980,Population_1981,Population_1982,Population_1983,Population_1984,Population_1985,Population_1986,Population_1987,Population_1988,Population_1989,Population_1990,Population_1991,Population_1992,Population_1993,Population_1994,Population_1995,Population_1996,Population_1997,Population_1998,Population_1999,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019
Norway,NOR,3609800,3638801.0,3666315.0,3694010.0,3722725.0,3752446.0,3783837.0,3815644.0,3846731.0,3874678.0,3901851.0,3931692.0,3959194.0,3983755.0,4005741.0,4024528.0,4041538.0,4056968.0,4070785.0,4083861.0,4097913.0,4112964.0,4126580.0,4138225.0,4150618.0,4165423.0,4184919.0,4207431.0,4224800.0,4239340.0,4259541.0,4284126.0,4309626.0,4334165.0,4356665.0,4378748.0,4402490.0,4428703.0,4459029.0,4487970.0,4510681.0,4535007.0,4561606.0,4588562.0,4619813.0,4657021.0,4705209.0,4763852.0,4823930.0,4884020.0,4947375.0,5012356.0,5072962.0,5130172.0,5181222.0,5226867.0,5269083.0,5303864.0,5339668.0
Nepal,NPL,10176198,10339294.0,10507846.0,10684069.0,10869643.0,11065604.0,11272089.0,11488801.0,11714996.0,11950165.0,12194437.0,12448212.0,12711587.0,12984634.0,13267413.0,13559859.0,13861938.0,14173721.0,14495341.0,14826795.0,15169209.0,15522594.0,15884644.0,16252160.0,16623514.0,16995375.0,17369798.0,17756794.0,18170009.0,18618025.0,19104049.0,19621516.0,20157031.0,20691850.0,21211557.0,21711218.0,22191797.0,22651871.0,23091694.0,23511333.0,23906698.0,24275512.0,24621808.0,24951863.0,25269015.0,25583295.0,25891461.0,26168680.0,26380727.0,26507673.0,26535355.0,26484697.0,26413993.0,26403216.0,26509085.0,26749483.0,27106218.0,27554549.0,28060819.0
Nauru,NRU,4613,4914.0,5232.0,5537.0,5792.0,5997.0,6149.0,6261.0,6363.0,6472.0,6595.0,6717.0,6839.0,6966.0,7081.0,7190.0,7301.0,7403.0,7514.0,7636.0,7767.0,7907.0,8056.0,8209.0,8378.0,8555.0,8732.0,8924.0,9134.0,9355.0,9607.0,9865.0,10115.0,10320.0,10447.0,10490.0,10465.0,10384.0,10269.0,10158.0,10037.0,9925.0,9818.0,9727.0,9675.0,9654.0,9668.0,9716.0,9763.0,9828.0,9879.0,10095.0,10614.0,11581.0,12173.0,12721.0,12551.0,12382.0,12262.0
Oman,OMN,615752,630752.0,646551.0,663098.0,680425.0,698677.0,718116.0,739002.0,761633.0,786359.0,813182.0,842413.0,874984.0,912096.0,954531.0,1002428.0,1055442.0,1113194.0,1175091.0,1240526.0,1309709.0,1382264.0,1456292.0,1529309.0,1599638.0,1665280.0,1726723.0,1787722.0,1853655.0,1927747.0,2012661.0,2105608.0,2197865.0,2277357.0,2335811.0,2369870.0,2383718.0,2385944.0,2389163.0,2402970.0,2431397.0,2473302.0,2527064.0,2589151.0,2657827.0,2730391.0,2810047.0,2907538.0,3036964.0,3206621.0,3420396.0,3670782.0,3940571.0,4206127.0,4449688.0,4665303.0,4855832.0,5023121.0,5172223.0
Pakistan,PAK,53100671,54391637.0,55744209.0,57155106.0,58622187.0,60147470.0,61732626.0,63375273.0,65072321.0,66823621.0,68629202.0,70496396.0,72441739.0,74486674.0,76647954.0,78927989.0,81326452.0,83853056.0,86518246.0,89326912.0,92282839.0,95377156.0,98585587.0,101875198.0,105220103.0,108615915.0,112063128.0,115547333.0,119053013.0,122571694.0,126085596.0,129601430.0,133164952.0,136839724.0,140667139.0,144669593.0,148821900.0,153059936.0,157293091.0,161457266.0,165528408.0,169529246.0,173499492.0,177500359.0,181576518.0,185740490.0,189978476.0,194277787.0,198616659.0,202980335.0,207362739.0,211772747.0,216227667.0,220751747.0,225360225.0,230057455.0,234831140.0,239658986.0,244522182.0
Panama,PAN,1181175,1216406.0,1252721.0,1290020.0,1328206.0,1367196.0,1406989.0,1447626.0,1489213.0,1531772.0,1575315.0,1619735.0,1664854.0,1710390.0,1756163.0,1802091.0,1848194.0,1894497.0,1941051.0,1987902.0,2035048.0,2082491.0,2130245.0,2178354.0,2226867.0,2275795.0,2325179.0,2375077.0,2425552.0,2476661.0,2528408.0,2580808.0,2633983.0,2688052.0,2743118.0,2799234.0,2856330.0,2914192.0,2972522.0,3031099.0,3089861.0,3148839.0,3208131.0,3267862.0,3328136.0,3388987.0,3450387.0,3512298.0,3574682.0,3637518.0,3700672.0,3764165.0,3828317.0,3893514.0,3959981.0,4027840.0,4096780.0,4166121.0,4234936.0
Peru,PER,10217500,10509492.0,10810976.0,11120287.0,11436195.0,11758157.0,12086478.0,12421932.0,12765699.0,13118550.0,13480535.0,13851073.0,14229469.0,14614808.0,15006286.0,15403581.0,15806486.0,16214495.0,16627049.0,17043668.0,17463661.0,17886724.0,18313157.0,18743547.0,19178083.0,19616777.0,20058682.0,20501797.0,20943544.0,21381975.0,21814431.0,22240709.0,22664016.0,23089189.0,23518614.0,23954607.0,24392943.0,24821753.0,25224994.0,25591482.0,25917598.0,26207726.0,26468739.0,26711294.0,26944212.0,27171358.0,27393791.0,27614564.0,27836366.0,28062657.0,28290506.0,28523942.0,28781078.0,29085286.0,29450651.0,29887451.0,30384161.0,30906236.0,31405729.0
Philippines,PHL,28839740,29796613.0,30772996.0,31760449.0,32753281.0,33749085.0,34750637.0,35763952.0,36797715.0,37858391.0,38948657.0,40067318.0,41212322.0,42380029.0,43568282.0,44776468.0,46007080.0,47264695.0,48555446.0,49883659.0,51250012.0,52652880.0,54091219.0,55563130.0,57066428.0,58601207.0,60165615.0,61753238.0,63355803.0,64967197.0,66583947.0,68206536.0,69837787.0,71482524.0,73143932.0,74820124.0,76508070.0,78208306.0,79921639.0,81647182.0,83388394.0,85141152.0,86888095.0,88606176.0,90280272.0,91899650.0,93472149.0,95023751.0,96591507.0,98200830.0,99862205.0,101563984.0,103282531.0,104983273.0,106641345.0,108248651.0,109813377.0,111346519.0,112865280.0
Palau,PLW,9740,9996.0,10237.0,10457.0,10653.0,10822.0,10963.0,11096.0,11244.0,11429.0,11661.0,11935.0,12210.0,12405.0,12475.0,12410.0,12224.0,11987.0,11818.0,11770.0,11866.0,12093.0,12405.0,12740.0,13058.0,13347.0,13626.0,13893.0,14186.0,14519.0,14884.0,15279.0,15692.0,16098.0,16523.0,16931.0,17331.0,17708.0,18057.0,18371.0,18639.0,18879.0,19044.0,19100.0,19017.0,18784.0,18413.0,17971.0,17564.0,17244.0,17041.0,16940.0,16907.0,16926.0,16963.0,17021.0,17101.0,17196.0,17293.0
Papua New Guinea,PNG,1758754,1791593.0,1826161.0,1862743.0,1901527.0,1942576.0,1985802.0,2031023.0,2078011.0,2126591.0,2176740.0,2228528.0,2282147.0,2337841.0,2395807.0,2455997.0,2518359.0,2583086.0,2650412.0,2720428.0,2793259.0,2868670.0,2946031.0,3024470.0,3103361.0,3182545.0,3262170.0,3342311.0,3423124.0,3504813.0,3587140.0,3670180.0,3754825.0,3842270.0,3933264.0,4028545.0,4127678.0,4228828.0,4329444.0,4427859.0,4523027.0,4615933.0,4709406.0,4807411.0,4912667.0,5026307.0,5147059.0,5272290.0,5398176.0,5521962.0,5642765.0,5761431.0,5879042.0,5997375.0,6117699.0,6240199.0,6364388.0,6490069.0,6616864.0
